SBY 15:10:52 [cover] Copy '/home/kevin/d/rfuzz/formal/FFTSmall/FFTSmall.v' to '/home/kevin/d/rfuzz/formal/FFTSmall/cover/src/FFTSmall.v'.
SBY 15:10:52 [cover] Copy '/home/kevin/d/rfuzz/formal/FFTSmall/FFTSmall_formal.sv' to '/home/kevin/d/rfuzz/formal/FFTSmall/cover/src/FFTSmall_formal.sv'.
SBY 15:10:52 [cover] engine_0: smtbmc boolector
SBY 15:10:52 [cover] base: starting process "cd cover/src; yosys -ql ../model/design.log ../model/design.ys"
SBY 15:10:53 [cover] base: finished (returncode=0)
SBY 15:10:53 [cover] smt2: starting process "cd cover/model; yosys -ql design_smt2.log design_smt2.ys"
SBY 15:10:53 [cover] smt2: finished (returncode=0)
SBY 15:10:53 [cover] engine_0: starting process "cd cover; yosys-smtbmc -s boolector --presat --unroll -c --noprogress -t 200  --append 0 --dump-vcd engine_0/trace%.vcd --dump-vlogtb engine_0/trace%_tb.v --dump-smtc engine_0/trace%.smtc model/design_smt2.smt2"
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:273.32-274.31 ($cover$FFTSmall_formal.sv:273$824) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:275.33-276.32 ($cover$FFTSmall_formal.sv:275$826) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:277.33-278.32 ($cover$FFTSmall_formal.sv:277$828) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:279.33-280.32 ($cover$FFTSmall_formal.sv:279$830) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:281.33-282.32 ($cover$FFTSmall_formal.sv:281$832) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:283.33-284.32 ($cover$FFTSmall_formal.sv:283$834) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:285.33-286.32 ($cover$FFTSmall_formal.sv:285$836) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:287.33-288.32 ($cover$FFTSmall_formal.sv:287$838) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:289.33-290.32 ($cover$FFTSmall_formal.sv:289$840) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:291.33-292.32 ($cover$FFTSmall_formal.sv:291$842) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:293.33-294.32 ($cover$FFTSmall_formal.sv:293$844) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:295.33-296.32 ($cover$FFTSmall_formal.sv:295$846) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:297.33-298.32 ($cover$FFTSmall_formal.sv:297$848) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:299.33-300.32 ($cover$FFTSmall_formal.sv:299$850) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:301.33-302.32 ($cover$FFTSmall_formal.sv:301$852) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:303.33-304.32 ($cover$FFTSmall_formal.sv:303$854) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:305.33-306.32 ($cover$FFTSmall_formal.sv:305$856) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:307.33-308.32 ($cover$FFTSmall_formal.sv:307$858) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:309.33-310.32 ($cover$FFTSmall_formal.sv:309$860) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:311.33-312.32 ($cover$FFTSmall_formal.sv:311$862) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:313.33-314.32 ($cover$FFTSmall_formal.sv:313$864) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:315.33-316.32 ($cover$FFTSmall_formal.sv:315$866) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:317.33-318.32 ($cover$FFTSmall_formal.sv:317$868) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:319.33-320.32 ($cover$FFTSmall_formal.sv:319$870) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:321.33-322.32 ($cover$FFTSmall_formal.sv:321$872) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:323.33-324.32 ($cover$FFTSmall_formal.sv:323$874) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:325.33-326.32 ($cover$FFTSmall_formal.sv:325$876) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:327.33-328.32 ($cover$FFTSmall_formal.sv:327$878) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:329.33-330.32 ($cover$FFTSmall_formal.sv:329$880) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:331.33-332.32 ($cover$FFTSmall_formal.sv:331$882) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:333.33-334.32 ($cover$FFTSmall_formal.sv:333$884) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:335.33-336.32 ($cover$FFTSmall_formal.sv:335$886) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:337.33-338.32 ($cover$FFTSmall_formal.sv:337$888) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:339.33-340.32 ($cover$FFTSmall_formal.sv:339$890) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:341.33-342.32 ($cover$FFTSmall_formal.sv:341$892) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:343.33-344.32 ($cover$FFTSmall_formal.sv:343$894) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:345.33-346.32 ($cover$FFTSmall_formal.sv:345$896) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:347.33-348.32 ($cover$FFTSmall_formal.sv:347$898) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:349.33-350.32 ($cover$FFTSmall_formal.sv:349$900) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:351.33-352.32 ($cover$FFTSmall_formal.sv:351$902) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:352.33-353.32 ($cover$FFTSmall_formal.sv:352$903) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:355.33-356.32 ($cover$FFTSmall_formal.sv:355$906) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:357.33-358.32 ($cover$FFTSmall_formal.sv:357$908) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:359.33-360.32 ($cover$FFTSmall_formal.sv:359$910) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:361.33-362.32 ($cover$FFTSmall_formal.sv:361$912) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:363.33-364.32 ($cover$FFTSmall_formal.sv:363$914) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:365.33-366.32 ($cover$FFTSmall_formal.sv:365$916) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:367.33-368.32 ($cover$FFTSmall_formal.sv:367$918) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:369.33-370.32 ($cover$FFTSmall_formal.sv:369$920) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:371.33-372.32 ($cover$FFTSmall_formal.sv:371$922) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:373.33-374.32 ($cover$FFTSmall_formal.sv:373$924) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:375.33-376.32 ($cover$FFTSmall_formal.sv:375$926) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:377.33-378.32 ($cover$FFTSmall_formal.sv:377$928) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:379.33-380.32 ($cover$FFTSmall_formal.sv:379$930) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:380.33-381.32 ($cover$FFTSmall_formal.sv:380$931) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:383.33-384.32 ($cover$FFTSmall_formal.sv:383$934) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:384.33-385.32 ($cover$FFTSmall_formal.sv:384$935) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:387.33-388.32 ($cover$FFTSmall_formal.sv:387$938) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:389.33-390.32 ($cover$FFTSmall_formal.sv:389$940) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:391.33-392.32 ($cover$FFTSmall_formal.sv:391$942) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:393.33-394.32 ($cover$FFTSmall_formal.sv:393$944) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:395.33-396.32 ($cover$FFTSmall_formal.sv:395$946) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:397.33-398.32 ($cover$FFTSmall_formal.sv:397$948) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:399.33-400.32 ($cover$FFTSmall_formal.sv:399$950) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:401.33-402.32 ($cover$FFTSmall_formal.sv:401$952) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:403.33-404.32 ($cover$FFTSmall_formal.sv:403$954) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:405.33-406.32 ($cover$FFTSmall_formal.sv:405$956) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:407.33-408.32 ($cover$FFTSmall_formal.sv:407$958) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:409.33-410.32 ($cover$FFTSmall_formal.sv:409$960) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:410.33-411.32 ($cover$FFTSmall_formal.sv:410$961) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:413.33-414.32 ($cover$FFTSmall_formal.sv:413$964) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:415.33-416.32 ($cover$FFTSmall_formal.sv:415$966) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:416.33-417.32 ($cover$FFTSmall_formal.sv:416$967) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:419.33-420.32 ($cover$FFTSmall_formal.sv:419$970) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:421.33-422.32 ($cover$FFTSmall_formal.sv:421$972) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:423.33-424.32 ($cover$FFTSmall_formal.sv:423$974) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:425.33-426.32 ($cover$FFTSmall_formal.sv:425$976) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:427.33-428.32 ($cover$FFTSmall_formal.sv:427$978) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:429.33-430.32 ($cover$FFTSmall_formal.sv:429$980) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:431.33-432.32 ($cover$FFTSmall_formal.sv:431$982) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:433.33-434.32 ($cover$FFTSmall_formal.sv:433$984) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:435.33-436.32 ($cover$FFTSmall_formal.sv:435$986) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:436.33-437.32 ($cover$FFTSmall_formal.sv:436$987) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:439.33-440.32 ($cover$FFTSmall_formal.sv:439$990) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:441.33-442.32 ($cover$FFTSmall_formal.sv:441$992) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:443.33-444.32 ($cover$FFTSmall_formal.sv:443$994) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:445.33-446.32 ($cover$FFTSmall_formal.sv:445$996) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:447.33-448.32 ($cover$FFTSmall_formal.sv:447$998) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:448.33-449.32 ($cover$FFTSmall_formal.sv:448$999) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:451.33-452.32 ($cover$FFTSmall_formal.sv:451$1002) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:453.33-454.32 ($cover$FFTSmall_formal.sv:453$1004) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:455.34-456.33 ($cover$FFTSmall_formal.sv:455$1006) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:457.34-458.33 ($cover$FFTSmall_formal.sv:457$1008) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:459.34-460.33 ($cover$FFTSmall_formal.sv:459$1010) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:461.34-462.33 ($cover$FFTSmall_formal.sv:461$1012) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:463.34-464.33 ($cover$FFTSmall_formal.sv:463$1014) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:465.34-466.33 ($cover$FFTSmall_formal.sv:465$1016) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:466.34-467.33 ($cover$FFTSmall_formal.sv:466$1017) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:469.34-470.33 ($cover$FFTSmall_formal.sv:469$1020) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:470.34-471.33 ($cover$FFTSmall_formal.sv:470$1021) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:473.34-474.33 ($cover$FFTSmall_formal.sv:473$1024) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:474.34-475.33 ($cover$FFTSmall_formal.sv:474$1025) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:476.34-477.33 ($cover$FFTSmall_formal.sv:476$1027) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:479.34-480.33 ($cover$FFTSmall_formal.sv:479$1030) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Reached cover statement at FFTSmall_formal.sv:481.34-482.33 ($cover$FFTSmall_formal.sv:481$1032) in step 3.
SBY 15:10:54 [cover] engine_0: ##   0:00:00  Writing trace to VCD file: engine_0/trace0.vcd
SBY 15:10:55 [cover] engine_0: ##   0:00:02  Writing trace to Verilog testbench: engine_0/trace0_tb.v
SBY 15:10:55 [cover] engine_0: ##   0:00:02  Writing trace to constraints file: engine_0/trace0.smtc
SBY 15:10:55 [cover] engine_0: ##   0:00:02  Checking cover reachability in step 3..
SBY 15:10:56 [cover] engine_0: ##   0:00:02  Reached cover statement at FFTSmall_formal.sv:254.55-255.31 ($cover$FFTSmall_formal.sv:254$805) in step 3.
SBY 15:10:56 [cover] engine_0: ##   0:00:02  Reached cover statement at FFTSmall_formal.sv:257.32-258.31 ($cover$FFTSmall_formal.sv:257$808) in step 3.
SBY 15:10:56 [cover] engine_0: ##   0:00:02  Reached cover statement at FFTSmall_formal.sv:472.34-473.33 ($cover$FFTSmall_formal.sv:472$1023) in step 3.
SBY 15:10:56 [cover] engine_0: ##   0:00:02  Writing trace to VCD file: engine_0/trace1.vcd
SBY 15:10:57 [cover] engine_0: ##   0:00:03  Writing trace to Verilog testbench: engine_0/trace1_tb.v
SBY 15:10:57 [cover] engine_0: ##   0:00:03  Writing trace to constraints file: engine_0/trace1.smtc
SBY 15:10:57 [cover] engine_0: ##   0:00:03  Checking cover reachability in step 3..
SBY 15:10:57 [cover] engine_0: ##   0:00:03  Checking cover reachability in step 4..
SBY 15:10:57 [cover] engine_0: ##   0:00:03  Reached cover statement at FFTSmall_formal.sv:475.34-476.33 ($cover$FFTSmall_formal.sv:475$1026) in step 4.
SBY 15:10:57 [cover] engine_0: ##   0:00:03  Reached cover statement at FFTSmall_formal.sv:478.34-479.33 ($cover$FFTSmall_formal.sv:478$1029) in step 4.
SBY 15:10:57 [cover] engine_0: ##   0:00:03  Writing trace to VCD file: engine_0/trace2.vcd
SBY 15:10:58 [cover] engine_0: ##   0:00:04  Writing trace to Verilog testbench: engine_0/trace2_tb.v
SBY 15:10:58 [cover] engine_0: ##   0:00:04  Writing trace to constraints file: engine_0/trace2.smtc
SBY 15:10:58 [cover] engine_0: ##   0:00:04  Checking cover reachability in step 4..
SBY 15:10:58 [cover] engine_0: ##   0:00:05  Checking cover reachability in step 5..
SBY 15:10:58 [cover] engine_0: ##   0:00:05  Reached cover statement at FFTSmall_formal.sv:260.32-261.31 ($cover$FFTSmall_formal.sv:260$811) in step 5.
SBY 15:10:58 [cover] engine_0: ##   0:00:05  Writing trace to VCD file: engine_0/trace3.vcd
SBY 15:11:00 [cover] engine_0: ##   0:00:06  Writing trace to Verilog testbench: engine_0/trace3_tb.v
SBY 15:11:00 [cover] engine_0: ##   0:00:06  Writing trace to constraints file: engine_0/trace3.smtc
SBY 15:11:00 [cover] engine_0: ##   0:00:06  Checking cover reachability in step 5..
SBY 15:11:00 [cover] engine_0: ##   0:00:06  Reached cover statement at FFTSmall_formal.sv:259.32-260.31 ($cover$FFTSmall_formal.sv:259$810) in step 5.
SBY 15:11:00 [cover] engine_0: ##   0:00:06  Reached cover statement at FFTSmall_formal.sv:477.34-478.33 ($cover$FFTSmall_formal.sv:477$1028) in step 5.
SBY 15:11:00 [cover] engine_0: ##   0:00:06  Reached cover statement at FFTSmall_formal.sv:480.34-481.33 ($cover$FFTSmall_formal.sv:480$1031) in step 5.
SBY 15:11:00 [cover] engine_0: ##   0:00:06  Writing trace to VCD file: engine_0/trace4.vcd
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Writing trace to Verilog testbench: engine_0/trace4_tb.v
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Writing trace to constraints file: engine_0/trace4.smtc
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Checking cover reachability in step 5..
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Checking cover reachability in step 6..
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:270.32-271.31 ($cover$FFTSmall_formal.sv:270$821) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:290.33-291.32 ($cover$FFTSmall_formal.sv:290$841) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:302.33-303.32 ($cover$FFTSmall_formal.sv:302$853) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:316.33-317.32 ($cover$FFTSmall_formal.sv:316$867) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:334.33-335.32 ($cover$FFTSmall_formal.sv:334$885) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:344.33-345.32 ($cover$FFTSmall_formal.sv:344$895) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:353.33-354.32 ($cover$FFTSmall_formal.sv:353$904) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:366.33-367.32 ($cover$FFTSmall_formal.sv:366$917) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:374.33-375.32 ($cover$FFTSmall_formal.sv:374$925) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:385.33-386.32 ($cover$FFTSmall_formal.sv:385$936) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:398.33-399.32 ($cover$FFTSmall_formal.sv:398$949) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:406.33-407.32 ($cover$FFTSmall_formal.sv:406$957) in step 6.
SBY 15:11:02 [cover] engine_0: ##   0:00:08  Reached cover statement at FFTSmall_formal.sv:417.33-418.32 ($cover$FFTSmall_formal.sv:417$968) in step 6.
