SBY  0:06:07 [cover] Copy '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/TileAndMemTop.sv' to '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/cover/src/TileAndMemTop.sv'.
SBY  0:06:07 [cover] Copy '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/SignalTracker.sv' to '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/cover/src/SignalTracker.sv'.
SBY  0:06:07 [cover] engine_0: smtbmc boolector
SBY  0:06:07 [cover] base: starting process "cd cover/src; yosys -ql ../model/design.log ../model/design.ys"
SBY  0:06:25 [cover] base: finished (returncode=0)
SBY  0:06:26 [cover] smt2: starting process "cd cover/model; yosys -ql design_smt2.log design_smt2.ys"
SBY  0:06:35 [cover] smt2: finished (returncode=0)
SBY  0:06:35 [cover] engine_0: starting process "cd cover; yosys-smtbmc -s boolector --presat --unroll -c --noprogress -t 100  --append 0 --dump-vcd engine_0/trace%.vcd --dump-vlogtb engine_0/trace%_tb.v --dump-smtc engine_0/trace%.smtc model/design_smt2.smt2"
SBY  0:07:47 [cover] engine_0: ##   0:01:12  Reached cover statement at SignalTracker.sv:3245.22-3246.98 ($cover$SignalTracker.sv:3245$10268) in step 14.
SBY  0:07:47 [cover] engine_0: ##   0:01:12  Reached cover statement at SignalTracker.sv:3581.22-3582.76 ($cover$SignalTracker.sv:3581$10380) in step 14.
SBY  0:07:47 [cover] engine_0: ##   0:01:12  Writing trace to VCD file: engine_0/trace3.vcd
SBY  0:07:57 [cover] engine_0: ##   0:01:22  Writing trace to Verilog testbench: engine_0/trace3_tb.v
SBY  0:07:58 [cover] engine_0: ##   0:01:22  Writing trace to constraints file: engine_0/trace3.smtc
SBY  0:07:58 [cover] engine_0: ##   0:01:23  Checking cover reachability in step 14..
SBY  0:07:59 [cover] engine_0: ##   0:01:23  Reached cover statement at SignalTracker.sv:3185.22-3186.96 ($cover$SignalTracker.sv:3185$10248) in step 14.
SBY  0:07:59 [cover] engine_0: ##   0:01:23  Reached cover statement at SignalTracker.sv:440.22-441.92 ($cover$SignalTracker.sv:440$9333) in step 14.
SBY  0:07:59 [cover] engine_0: ##   0:01:23  Writing trace to VCD file: engine_0/trace4.vcd
SBY  0:08:09 [cover] engine_0: ##   0:01:34  Writing trace to Verilog testbench: engine_0/trace4_tb.v
SBY  0:08:09 [cover] engine_0: ##   0:01:34  Writing trace to constraints file: engine_0/trace4.smtc
SBY  0:08:09 [cover] engine_0: ##   0:01:34  Checking cover reachability in step 14..
SBY  0:08:10 [cover] engine_0: ##   0:01:35  Reached cover statement at SignalTracker.sv:2111.22-2112.85 ($cover$SignalTracker.sv:2111$9890) in step 14.
SBY  0:08:10 [cover] engine_0: ##   0:01:35  Reached cover statement at SignalTracker.sv:2132.22-2133.72 ($cover$SignalTracker.sv:2132$9897) in step 14.
SBY  0:08:10 [cover] engine_0: ##   0:01:35  Reached cover statement at SignalTracker.sv:2150.22-2151.74 ($cover$SignalTracker.sv:2150$9903) in step 14.
SBY  0:08:10 [cover] engine_0: ##   0:01:35  Writing trace to VCD file: engine_0/trace5.vcd
SBY  0:08:20 [cover] engine_0: ##   0:01:45  Writing trace to Verilog testbench: engine_0/trace5_tb.v
SBY  0:08:21 [cover] engine_0: ##   0:01:45  Writing trace to constraints file: engine_0/trace5.smtc
SBY  0:08:21 [cover] engine_0: ##   0:01:46  Checking cover reachability in step 14..
SBY  0:08:22 [cover] engine_0: ##   0:01:47  Reached cover statement at SignalTracker.sv:2048.22-2049.87 ($cover$SignalTracker.sv:2048$9869) in step 14.
SBY  0:08:22 [cover] engine_0: ##   0:01:47  Reached cover statement at SignalTracker.sv:359.22-360.76 ($cover$SignalTracker.sv:359$9306) in step 14.
SBY  0:08:22 [cover] engine_0: ##   0:01:47  Reached cover statement at SignalTracker.sv:4094.22-4095.91 ($cover$SignalTracker.sv:4094$10551) in step 14.
SBY  0:08:22 [cover] engine_0: ##   0:01:47  Writing trace to VCD file: engine_0/trace6.vcd
SBY  0:08:32 [cover] engine_0: ##   0:01:57  Writing trace to Verilog testbench: engine_0/trace6_tb.v
SBY  0:08:33 [cover] engine_0: ##   0:01:57  Writing trace to constraints file: engine_0/trace6.smtc
SBY  0:08:33 [cover] engine_0: ##   0:01:58  Checking cover reachability in step 14..
SBY  0:08:34 [cover] engine_0: ##   0:01:58  Reached cover statement at SignalTracker.sv:2090.22-2091.76 ($cover$SignalTracker.sv:2090$9883) in step 14.
SBY  0:08:34 [cover] engine_0: ##   0:01:58  Reached cover statement at SignalTracker.sv:2093.22-2094.76 ($cover$SignalTracker.sv:2093$9884) in step 14.
SBY  0:08:34 [cover] engine_0: ##   0:01:59  Writing trace to VCD file: engine_0/trace7.vcd
SBY  0:08:44 [cover] engine_0: ##   0:02:09  Writing trace to Verilog testbench: engine_0/trace7_tb.v
SBY  0:08:44 [cover] engine_0: ##   0:02:09  Writing trace to constraints file: engine_0/trace7.smtc
SBY  0:08:45 [cover] engine_0: ##   0:02:09  Checking cover reachability in step 14..
SBY  0:08:45 [cover] engine_0: ##   0:02:10  Reached cover statement at SignalTracker.sv:914.22-915.93 ($cover$SignalTracker.sv:914$9491) in step 14.
SBY  0:08:45 [cover] engine_0: ##   0:02:10  Writing trace to VCD file: engine_0/trace8.vcd
SBY  0:08:56 [cover] engine_0: ##   0:02:21  Writing trace to Verilog testbench: engine_0/trace8_tb.v
SBY  0:08:56 [cover] engine_0: ##   0:02:21  Writing trace to constraints file: engine_0/trace8.smtc
SBY  0:08:56 [cover] engine_0: ##   0:02:21  Checking cover reachability in step 14..
SBY  0:08:57 [cover] engine_0: ##   0:02:22  Reached cover statement at SignalTracker.sv:926.22-927.93 ($cover$SignalTracker.sv:926$9495) in step 14.
SBY  0:08:57 [cover] engine_0: ##   0:02:22  Writing trace to VCD file: engine_0/trace9.vcd
SBY  0:09:07 [cover] engine_0: ##   0:02:32  Writing trace to Verilog testbench: engine_0/trace9_tb.v
SBY  0:09:08 [cover] engine_0: ##   0:02:32  Writing trace to constraints file: engine_0/trace9.smtc
SBY  0:09:08 [cover] engine_0: ##   0:02:33  Checking cover reachability in step 14..
SBY  0:09:08 [cover] engine_0: ##   0:02:33  Reached cover statement at SignalTracker.sv:1262.22-1263.105 ($cover$SignalTracker.sv:1262$9607) in step 14.
SBY  0:09:08 [cover] engine_0: ##   0:02:33  Reached cover statement at SignalTracker.sv:1757.22-1758.91 ($cover$SignalTracker.sv:1757$9772) in step 14.
SBY  0:09:08 [cover] engine_0: ##   0:02:33  Reached cover statement at SignalTracker.sv:2390.22-2391.99 ($cover$SignalTracker.sv:2390$9983) in step 14.
SBY  0:09:08 [cover] engine_0: ##   0:02:33  Reached cover statement at SignalTracker.sv:956.22-957.93 ($cover$SignalTracker.sv:956$9505) in step 14.
SBY  0:09:08 [cover] engine_0: ##   0:02:33  Writing trace to VCD file: engine_0/trace10.vcd
SBY  0:09:19 [cover] engine_0: ##   0:02:44  Writing trace to Verilog testbench: engine_0/trace10_tb.v
SBY  0:09:19 [cover] engine_0: ##   0:02:44  Writing trace to constraints file: engine_0/trace10.smtc
SBY  0:09:19 [cover] engine_0: ##   0:02:44  Checking cover reachability in step 14..
SBY  0:09:20 [cover] engine_0: ##   0:02:45  Reached cover statement at SignalTracker.sv:1256.22-1257.105 ($cover$SignalTracker.sv:1256$9605) in step 14.
SBY  0:09:20 [cover] engine_0: ##   0:02:45  Reached cover statement at SignalTracker.sv:2378.22-2379.99 ($cover$SignalTracker.sv:2378$9979) in step 14.
SBY  0:09:20 [cover] engine_0: ##   0:02:45  Reached cover statement at SignalTracker.sv:3284.22-3285.77 ($cover$SignalTracker.sv:3284$10281) in step 14.
SBY  0:09:20 [cover] engine_0: ##   0:02:45  Reached cover statement at SignalTracker.sv:3293.22-3294.77 ($cover$SignalTracker.sv:3293$10284) in step 14.
SBY  0:09:20 [cover] engine_0: ##   0:02:45  Reached cover statement at SignalTracker.sv:3299.22-3300.77 ($cover$SignalTracker.sv:3299$10286) in step 14.
SBY  0:09:20 [cover] engine_0: ##   0:02:45  Writing trace to VCD file: engine_0/trace11.vcd
SBY  0:09:31 [cover] engine_0: ##   0:02:55  Writing trace to Verilog testbench: engine_0/trace11_tb.v
SBY  0:09:31 [cover] engine_0: ##   0:02:56  Writing trace to constraints file: engine_0/trace11.smtc
SBY  0:09:31 [cover] engine_0: ##   0:02:56  Checking cover reachability in step 14..
SBY  0:09:32 [cover] engine_0: ##   0:02:57  Reached cover statement at SignalTracker.sv:2324.22-2325.99 ($cover$SignalTracker.sv:2324$9961) in step 14.
SBY  0:09:32 [cover] engine_0: ##   0:02:57  Writing trace to VCD file: engine_0/trace12.vcd
SBY  0:09:43 [cover] engine_0: ##   0:03:07  Writing trace to Verilog testbench: engine_0/trace12_tb.v
SBY  0:09:43 [cover] engine_0: ##   0:03:08  Writing trace to constraints file: engine_0/trace12.smtc
SBY  0:09:43 [cover] engine_0: ##   0:03:08  Checking cover reachability in step 14..
SBY  0:09:44 [cover] engine_0: ##   0:03:09  Reached cover statement at SignalTracker.sv:2312.22-2313.93 ($cover$SignalTracker.sv:2312$9957) in step 14.
SBY  0:09:44 [cover] engine_0: ##   0:03:09  Writing trace to VCD file: engine_0/trace13.vcd
SBY  0:09:54 [cover] engine_0: ##   0:03:19  Writing trace to Verilog testbench: engine_0/trace13_tb.v
SBY  0:09:55 [cover] engine_0: ##   0:03:19  Writing trace to constraints file: engine_0/trace13.smtc
SBY  0:09:55 [cover] engine_0: ##   0:03:19  Checking cover reachability in step 14..
SBY  0:09:55 [cover] engine_0: ##   0:03:20  Reached cover statement at SignalTracker.sv:2297.22-2298.93 ($cover$SignalTracker.sv:2297$9952) in step 14.
SBY  0:09:55 [cover] engine_0: ##   0:03:20  Writing trace to VCD file: engine_0/trace14.vcd
SBY  0:10:06 [cover] engine_0: ##   0:03:31  Writing trace to Verilog testbench: engine_0/trace14_tb.v
SBY  0:10:06 [cover] engine_0: ##   0:03:31  Writing trace to constraints file: engine_0/trace14.smtc
SBY  0:10:06 [cover] engine_0: ##   0:03:31  Checking cover reachability in step 14..
SBY  0:10:07 [cover] engine_0: ##   0:03:32  Reached cover statement at SignalTracker.sv:2282.22-2283.93 ($cover$SignalTracker.sv:2282$9947) in step 14.
SBY  0:10:07 [cover] engine_0: ##   0:03:32  Writing trace to VCD file: engine_0/trace15.vcd
SBY  0:10:17 [cover] engine_0: ##   0:03:42  Writing trace to Verilog testbench: engine_0/trace15_tb.v
SBY  0:10:18 [cover] engine_0: ##   0:03:42  Writing trace to constraints file: engine_0/trace15.smtc
SBY  0:10:18 [cover] engine_0: ##   0:03:42  Checking cover reachability in step 14..
SBY  0:10:18 [cover] engine_0: ##   0:03:43  Reached cover statement at SignalTracker.sv:2270.22-2271.93 ($cover$SignalTracker.sv:2270$9943) in step 14.
SBY  0:10:18 [cover] engine_0: ##   0:03:43  Writing trace to VCD file: engine_0/trace16.vcd
SBY  0:10:29 [cover] engine_0: ##   0:03:54  Writing trace to Verilog testbench: engine_0/trace16_tb.v
SBY  0:10:29 [cover] engine_0: ##   0:03:54  Writing trace to constraints file: engine_0/trace16.smtc
SBY  0:10:29 [cover] engine_0: ##   0:03:54  Checking cover reachability in step 14..
SBY  0:10:30 [cover] engine_0: ##   0:03:55  Reached cover statement at SignalTracker.sv:1961.22-1962.87 ($cover$SignalTracker.sv:1961$9840) in step 14.
SBY  0:10:30 [cover] engine_0: ##   0:03:55  Writing trace to VCD file: engine_0/trace17.vcd
SBY  0:10:40 [cover] engine_0: ##   0:04:05  Writing trace to Verilog testbench: engine_0/trace17_tb.v
SBY  0:10:41 [cover] engine_0: ##   0:04:05  Writing trace to constraints file: engine_0/trace17.smtc
SBY  0:10:41 [cover] engine_0: ##   0:04:06  Checking cover reachability in step 14..
SBY  0:10:42 [cover] engine_0: ##   0:04:06  Reached cover statement at SignalTracker.sv:1967.22-1968.87 ($cover$SignalTracker.sv:1967$9842) in step 14.
SBY  0:10:42 [cover] engine_0: ##   0:04:06  Writing trace to VCD file: engine_0/trace18.vcd
SBY  0:10:52 [cover] engine_0: ##   0:04:17  Writing trace to Verilog testbench: engine_0/trace18_tb.v
SBY  0:10:52 [cover] engine_0: ##   0:04:17  Writing trace to constraints file: engine_0/trace18.smtc
SBY  0:10:53 [cover] engine_0: ##   0:04:17  Checking cover reachability in step 14..
SBY  0:10:54 [cover] engine_0: ##   0:04:18  Reached cover statement at SignalTracker.sv:1973.22-1974.87 ($cover$SignalTracker.sv:1973$9844) in step 14.
SBY  0:10:54 [cover] engine_0: ##   0:04:18  Writing trace to VCD file: engine_0/trace19.vcd
SBY  0:11:04 [cover] engine_0: ##   0:04:29  Writing trace to Verilog testbench: engine_0/trace19_tb.v
SBY  0:11:04 [cover] engine_0: ##   0:04:29  Writing trace to constraints file: engine_0/trace19.smtc
SBY  0:11:05 [cover] engine_0: ##   0:04:29  Checking cover reachability in step 14..
SBY  0:11:05 [cover] engine_0: ##   0:04:30  Reached cover statement at SignalTracker.sv:1001.22-1002.93 ($cover$SignalTracker.sv:1001$9520) in step 14.
SBY  0:11:05 [cover] engine_0: ##   0:04:30  Writing trace to VCD file: engine_0/trace20.vcd
SBY  0:11:16 [cover] engine_0: ##   0:04:40  Writing trace to Verilog testbench: engine_0/trace20_tb.v
SBY  0:11:16 [cover] engine_0: ##   0:04:41  Writing trace to constraints file: engine_0/trace20.smtc
SBY  0:11:16 [cover] engine_0: ##   0:04:41  Checking cover reachability in step 14..
SBY  0:11:17 [cover] engine_0: ##   0:04:42  Reached cover statement at SignalTracker.sv:1979.22-1980.87 ($cover$SignalTracker.sv:1979$9846) in step 14.
SBY  0:11:17 [cover] engine_0: ##   0:04:42  Writing trace to VCD file: engine_0/trace21.vcd
SBY  0:11:27 [cover] engine_0: ##   0:04:52  Writing trace to Verilog testbench: engine_0/trace21_tb.v
SBY  0:11:27 [cover] engine_0: ##   0:04:52  Writing trace to constraints file: engine_0/trace21.smtc
SBY  0:11:28 [cover] engine_0: ##   0:04:52  Checking cover reachability in step 14..
SBY  0:11:28 [cover] engine_0: ##   0:04:53  Reached cover statement at SignalTracker.sv:629.22-630.92 ($cover$SignalTracker.sv:629$9396) in step 14.
SBY  0:11:28 [cover] engine_0: ##   0:04:53  Writing trace to VCD file: engine_0/trace22.vcd
SBY  0:11:39 [cover] engine_0: ##   0:05:03  Writing trace to Verilog testbench: engine_0/trace22_tb.v
SBY  0:11:39 [cover] engine_0: ##   0:05:04  Writing trace to constraints file: engine_0/trace22.smtc
SBY  0:11:39 [cover] engine_0: ##   0:05:04  Checking cover reachability in step 14..
SBY  0:11:40 [cover] engine_0: ##   0:05:05  Reached cover statement at SignalTracker.sv:1988.22-1989.87 ($cover$SignalTracker.sv:1988$9849) in step 14.
SBY  0:11:40 [cover] engine_0: ##   0:05:05  Writing trace to VCD file: engine_0/trace23.vcd
SBY  0:11:50 [cover] engine_0: ##   0:05:15  Writing trace to Verilog testbench: engine_0/trace23_tb.v
SBY  0:11:50 [cover] engine_0: ##   0:05:15  Writing trace to constraints file: engine_0/trace23.smtc
SBY  0:11:51 [cover] engine_0: ##   0:05:15  Checking cover reachability in step 14..
SBY  0:11:51 [cover] engine_0: ##   0:05:16  Reached cover statement at SignalTracker.sv:1994.22-1995.87 ($cover$SignalTracker.sv:1994$9851) in step 14.
SBY  0:11:51 [cover] engine_0: ##   0:05:16  Writing trace to VCD file: engine_0/trace24.vcd
SBY  0:12:01 [cover] engine_0: ##   0:05:26  Writing trace to Verilog testbench: engine_0/trace24_tb.v
SBY  0:12:02 [cover] engine_0: ##   0:05:26  Writing trace to constraints file: engine_0/trace24.smtc
SBY  0:12:02 [cover] engine_0: ##   0:05:27  Checking cover reachability in step 14..
SBY  0:12:03 [cover] engine_0: ##   0:05:27  Reached cover statement at SignalTracker.sv:2003.22-2004.87 ($cover$SignalTracker.sv:2003$9854) in step 14.
SBY  0:12:03 [cover] engine_0: ##   0:05:27  Writing trace to VCD file: engine_0/trace25.vcd
SBY  0:12:13 [cover] engine_0: ##   0:05:38  Writing trace to Verilog testbench: engine_0/trace25_tb.v
SBY  0:12:13 [cover] engine_0: ##   0:05:38  Writing trace to constraints file: engine_0/trace25.smtc
SBY  0:12:13 [cover] engine_0: ##   0:05:38  Checking cover reachability in step 14..
SBY  0:12:14 [cover] engine_0: ##   0:05:39  Reached cover statement at SignalTracker.sv:2009.22-2010.87 ($cover$SignalTracker.sv:2009$9856) in step 14.
SBY  0:12:14 [cover] engine_0: ##   0:05:39  Writing trace to VCD file: engine_0/trace26.vcd
SBY  0:12:24 [cover] engine_0: ##   0:05:49  Writing trace to Verilog testbench: engine_0/trace26_tb.v
SBY  0:12:25 [cover] engine_0: ##   0:05:49  Writing trace to constraints file: engine_0/trace26.smtc
SBY  0:12:25 [cover] engine_0: ##   0:05:50  Checking cover reachability in step 14..
SBY  0:12:26 [cover] engine_0: ##   0:05:50  Reached cover statement at SignalTracker.sv:2018.22-2019.87 ($cover$SignalTracker.sv:2018$9859) in step 14.
SBY  0:12:26 [cover] engine_0: ##   0:05:50  Writing trace to VCD file: engine_0/trace27.vcd
SBY  0:12:36 [cover] engine_0: ##   0:06:01  Writing trace to Verilog testbench: engine_0/trace27_tb.v
SBY  0:12:36 [cover] engine_0: ##   0:06:01  Writing trace to constraints file: engine_0/trace27.smtc
SBY  0:12:36 [cover] engine_0: ##   0:06:01  Checking cover reachability in step 14..
SBY  0:12:37 [cover] engine_0: ##   0:06:02  Reached cover statement at SignalTracker.sv:2024.22-2025.87 ($cover$SignalTracker.sv:2024$9861) in step 14.
SBY  0:12:37 [cover] engine_0: ##   0:06:02  Writing trace to VCD file: engine_0/trace28.vcd
SBY  0:12:47 [cover] engine_0: ##   0:06:12  Writing trace to Verilog testbench: engine_0/trace28_tb.v
SBY  0:12:48 [cover] engine_0: ##   0:06:13  Writing trace to constraints file: engine_0/trace28.smtc
SBY  0:12:48 [cover] engine_0: ##   0:06:13  Checking cover reachability in step 14..
SBY  0:12:49 [cover] engine_0: ##   0:06:14  Reached cover statement at SignalTracker.sv:2153.22-2154.86 ($cover$SignalTracker.sv:2153$9904) in step 14.
SBY  0:12:49 [cover] engine_0: ##   0:06:14  Reached cover statement at SignalTracker.sv:2717.22-2718.87 ($cover$SignalTracker.sv:2717$10092) in step 14.
SBY  0:12:49 [cover] engine_0: ##   0:06:14  Reached cover statement at SignalTracker.sv:2936.22-2937.94 ($cover$SignalTracker.sv:2936$10165) in step 14.
SBY  0:12:49 [cover] engine_0: ##   0:06:14  Reached cover statement at SignalTracker.sv:3401.22-3402.77 ($cover$SignalTracker.sv:3401$10320) in step 14.
SBY  0:12:49 [cover] engine_0: ##   0:06:14  Reached cover statement at SignalTracker.sv:341.22-342.63 ($cover$SignalTracker.sv:341$9300) in step 14.
SBY  0:12:49 [cover] engine_0: ##   0:06:14  Reached cover statement at SignalTracker.sv:4076.22-4077.78 ($cover$SignalTracker.sv:4076$10545) in step 14.
SBY  0:12:49 [cover] engine_0: ##   0:06:14  Writing trace to VCD file: engine_0/trace29.vcd
SBY  0:12:59 [cover] engine_0: ##   0:06:24  Writing trace to Verilog testbench: engine_0/trace29_tb.v
SBY  0:12:59 [cover] engine_0: ##   0:06:24  Writing trace to constraints file: engine_0/trace29.smtc
SBY  0:13:00 [cover] engine_0: ##   0:06:24  Checking cover reachability in step 14..
SBY  0:13:00 [cover] engine_0: ##   0:06:25  Reached cover statement at SignalTracker.sv:3248.22-3249.77 ($cover$SignalTracker.sv:3248$10269) in step 14.
SBY  0:13:00 [cover] engine_0: ##   0:06:25  Writing trace to VCD file: engine_0/trace30.vcd
SBY  0:13:11 [cover] engine_0: ##   0:06:36  Writing trace to Verilog testbench: engine_0/trace30_tb.v
SBY  0:13:11 [cover] engine_0: ##   0:06:36  Writing trace to constraints file: engine_0/trace30.smtc
SBY  0:13:11 [cover] engine_0: ##   0:06:36  Checking cover reachability in step 14..
SBY  0:13:12 [cover] engine_0: ##   0:06:37  Reached cover statement at SignalTracker.sv:1271.22-1272.87 ($cover$SignalTracker.sv:1271$9610) in step 14.
SBY  0:13:12 [cover] engine_0: ##   0:06:37  Writing trace to VCD file: engine_0/trace31.vcd
SBY  0:13:23 [cover] engine_0: ##   0:06:47  Writing trace to Verilog testbench: engine_0/trace31_tb.v
SBY  0:13:23 [cover] engine_0: ##   0:06:48  Writing trace to constraints file: engine_0/trace31.smtc
SBY  0:13:23 [cover] engine_0: ##   0:06:48  Checking cover reachability in step 14..
SBY  0:13:24 [cover] engine_0: ##   0:06:49  Reached cover statement at SignalTracker.sv:2261.22-2262.94 ($cover$SignalTracker.sv:2261$9940) in step 14.
SBY  0:13:24 [cover] engine_0: ##   0:06:49  Writing trace to VCD file: engine_0/trace32.vcd
SBY  0:13:34 [cover] engine_0: ##   0:06:59  Writing trace to Verilog testbench: engine_0/trace32_tb.v
SBY  0:13:35 [cover] engine_0: ##   0:06:59  Writing trace to constraints file: engine_0/trace32.smtc
SBY  0:13:35 [cover] engine_0: ##   0:07:00  Checking cover reachability in step 14..
SBY  0:13:36 [cover] engine_0: ##   0:07:01  Reached cover statement at SignalTracker.sv:3272.22-3273.77 ($cover$SignalTracker.sv:3272$10277) in step 14.
SBY  0:13:36 [cover] engine_0: ##   0:07:01  Reached cover statement at SignalTracker.sv:3278.22-3279.77 ($cover$SignalTracker.sv:3278$10279) in step 14.
SBY  0:13:36 [cover] engine_0: ##   0:07:01  Writing trace to VCD file: engine_0/trace33.vcd
SBY  0:13:47 [cover] engine_0: ##   0:07:11  Writing trace to Verilog testbench: engine_0/trace33_tb.v
SBY  0:13:47 [cover] engine_0: ##   0:07:12  Writing trace to constraints file: engine_0/trace33.smtc
SBY  0:13:47 [cover] engine_0: ##   0:07:12  Checking cover reachability in step 14..
SBY  0:13:48 [cover] engine_0: ##   0:07:13  Reached cover statement at SignalTracker.sv:3188.22-3189.90 ($cover$SignalTracker.sv:3188$10249) in step 14.
SBY  0:13:48 [cover] engine_0: ##   0:07:13  Reached cover statement at SignalTracker.sv:761.22-762.93 ($cover$SignalTracker.sv:761$9440) in step 14.
SBY  0:13:48 [cover] engine_0: ##   0:07:13  Writing trace to VCD file: engine_0/trace34.vcd
SBY  0:13:58 [cover] engine_0: ##   0:07:23  Writing trace to Verilog testbench: engine_0/trace34_tb.v
SBY  0:13:59 [cover] engine_0: ##   0:07:23  Writing trace to constraints file: engine_0/trace34.smtc
SBY  0:13:59 [cover] engine_0: ##   0:07:24  Checking cover reachability in step 14..
SBY  0:14:00 [cover] engine_0: ##   0:07:24  Reached cover statement at SignalTracker.sv:1802.22-1803.90 ($cover$SignalTracker.sv:1802$9787) in step 14.
SBY  0:14:00 [cover] engine_0: ##   0:07:24  Reached cover statement at SignalTracker.sv:1817.22-1818.90 ($cover$SignalTracker.sv:1817$9792) in step 14.
SBY  0:14:00 [cover] engine_0: ##   0:07:24  Reached cover statement at SignalTracker.sv:809.22-810.93 ($cover$SignalTracker.sv:809$9456) in step 14.
SBY  0:14:00 [cover] engine_0: ##   0:07:25  Writing trace to VCD file: engine_0/trace35.vcd
SBY  0:14:10 [cover] engine_0: ##   0:07:35  Writing trace to Verilog testbench: engine_0/trace35_tb.v
SBY  0:14:10 [cover] engine_0: ##   0:07:35  Writing trace to constraints file: engine_0/trace35.smtc
SBY  0:14:11 [cover] engine_0: ##   0:07:35  Checking cover reachability in step 14..
SBY  0:14:12 [cover] engine_0: ##   0:07:36  Reached cover statement at SignalTracker.sv:3371.22-3372.66 ($cover$SignalTracker.sv:3371$10310) in step 14.
